025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
021CARTRIDGE,CALIBER .501305-AB65Cartridge, .50 Caliber, Linked Ball, MK322 Mod 0, Reduced Range Training Ammunition|A1305AB65
025CARTRIDGE,5.56 MILLIMETER1305-AB66SRTA, Short Range Training Ammunition, Ball XM1037, Linked|A1305AB66
025CARTRIDGE,5.56 MILLIMETER1305-AB67SRTA, Short Range Training Ammunition, Ball XM1037, Clipped|A1305AB67
020PARTS KIT,AMMUNITION1305-AB68Cartridge Caliber .30 Armor Test Kit, with bullet and primed case, Armor piercing, M2.|A1305AB68
023CARTRIDGE,25 MILLIMETER1305-AB69XM1083 High Explosive Air Burst (HEAB)|A1305AB69
032CARTRIDGE,25 MILLIMETER,PRACTICE1305-AB70XM1081 Target Practice (TP)|A1305AB70
023CARTRIDGE,25 MILLIMETER1305-AB71CARTRIDEGE, 25MM, ARMOR PIERCING; XM1133; P/N: 13036740 CAGE: 19200|A1305AB71
031CARTRIDGE,7.62 MILLIMETER BLANK1305-AB72CEREMONIAL, M82A1; BOTTLENOSE VERSION OF 7.62MM BLANK ROUND|A1305AB72
025CARTRIDGE,5.56 MILLIMETER1305-AB735.56mm, Ball, M855A1 AND TRACER, M856A1, LINKED (4:1); M855A1 AND M856A1 IS A LEAD FREE VERSION OF STANDARD AMMUNITION.  THE M856A1 USES THE SAME CUP, PRIMER, JACKET, AND TRACER MIX.  THE LEAD SLUG WAS REPLACED WITH A COPPER SLUG AND HAS AN ALTERNATE PROPELANT TO MAINTAIN COMPARABLE PERFORMANCE.  PART NUMBER: 13036756; CAGE: 19200|A1305AB73
025CARTRIDGE,5.56 MILLIMETER1305-AB74CARTRIDGE, 5.56 mm, TRACER, M856A1; NO LEAD 5.56mm AMMUNITION ROUND.  P/N: 13029994; CAGE: 19200|A1305AB74
025CARTRIDGE,5.56 MILLIMETER1305-AB75CARTRIDGE 5.56mm, AP, M995 AND TRACER, M856A1 LINKED (4:1); P/N: 13036755; CAGE: 19200|A1305AB75
025CARTRIDGE,5.56 MILLIMETER1305-AB76CARTRIDGE, 5.56mm, BALL, M855 AND TRACER, M856A1, LINKED (4:1); P/N:13036757; CAGE:19200|A1305AB76
025CARTRIDGE,5.56 MILLIMETER1305-AB77CARTRIDGE,5.56 MILLIMETER; BALL, M855A1, Part Number: 13036768; CAGE: 19200|A1305AB77
025CARTRIDGE,5.56 MILLIMETER1305-AB78CARTRIDGE,5.56 MILLIMETER: CARTRIDGE,5.56 BALL, M855, Part Number: 13036767 ; CAGE: 19200|A1305AB78
025CARTRIDGE,7.62 MILLIMETER1305-AB79CARTRIDGE, 7.62 MILLIMETER; Ball, M80A1|A1305AB79
025CARTRIDGE,7.62 MILLIMETER1305-AB80CARTRIDGE, 7.62 MILLIMETER; Ball M80A1,5 Cartridges per 5 Round Clip; P/N: 13037151; CAGE: 19200|A1305AB80
025CARTRIDGE,7.62 MILLIMETER1305-AB81CARTRIDGE, 7.62 MILLIMETER; Ball M80A1, 750 Cartridges per Belt;|A1305AB81
025CARTRIDGE,7.62 MILLIMETER1305-AB82CARTRIDGE,7.62 MILLIMETER; BALL M80A1: PK 20-CRTG/CTN,23CTN/CNTNR, 2CNTNR/BOX(TOTAL 920 CRTG/BOX). PN: 13037150; CAGE: 19200|A1305AB82
025CARTRIDGE,7.62 MILLIMETER1305-AB83CARTRIDGE,7.62 MILLIMETER; FOR PRECISION SNIPER RIFLE(PSR) CAGE:19200; P/N:|A1305AB83
025CARTRIDGE,7.62 MILLIMETER1305-AB84CAGE 19200  P/N 13038174  Ctg, 7.62MM: Tracer, M62A1; Lead free tracer, bulk packed|A1305AB84
025CARTRIDGE,7.62 MILLIMETER1305-AB85CAGE 19200  P/N 13038176  CTG, 7.62MM: Tracer, M62A1; Straight Lead Free Tracer, Linked|A1305AB85
025CARTRIDGE,7.62 MILLIMETER1305-AB86CAGE 19200  P/N 13038167 CTG, 7.62MM:Tracer, M62A1 and Cartridge, 7.62MM: Ball, M80A1; Lead Free Ball Linked 4:1 with Lead Free Tracer|A1305AB86
025CARTRIDGE,7.62 MILLIMETER1305-AB87AMMO AB87 CANCELLED ON 100413 CAGE 19200  P/N 13038192  Armor Piercing Linked 4:1 with Laed Free Tracer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |C1305AB87
025CARTRIDGE,7.62 MILLIMETER1305-AB88CAGE 19200  P/N 13038168  CTG, 7.62MM: Ball, M80A1 and CTG, 7.62MM: Tracer, M62A1 Lead Free Ball Linked 4:1 with Lead Free Tracer, packed for Minigun use|A1305AB88
025CARTRIDGE,7.62 MILLIMETER1305-AB89CAGE 19200  P/N 13038169  CTG, 7.62MM: Ball, M80A1 and Ctg, 7.62MM: Tracer, M62A1  Lead Free Ball Linked 9:1 with Lead Free Tracer, Packed for Minigun use|A1305AB89
025CARTRIDGE,7.62 MILLIMETER1305-AB90AMMO AB90 CANCELLED ON 100413 CAGE 19200  P/N 13038173  Armor Piercing Linked 9:1 with Lead Free Tracer, packed for Minigun use.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |C1305AB90
025CARTRIDGE,7.62 MILLIMETER1305-AB91AMMO AB91 CANCELLED ON 100413 CAGE 19200  P/N 13038193  M993 M276A1  9 to 1 M548                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |C1305AB91
025CARTRIDGE,7.62 MILLIMETER1305-AB92AMMO AB92 CANCELLED ON 100413 CAGE 19200  P/N 13038186  M80A1 M276A1 4 to 1 M19A1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |C1305AB92
